#mapID	PathwayName	Pathway
map00010	Glycolysis / Gluconeogenesis	Metabolism|Carbohydrate metabolism|Glycolysis / Gluconeogenesis
map00020	Citrate cycle (TCA cycle)	Metabolism|Carbohydrate metabolism|Citrate cycle (TCA cycle)
map00030	Pentose phosphate pathway	Metabolism|Carbohydrate metabolism|Pentose phosphate pathway
map00040	Pentose and glucuronate interconversions	Metabolism|Carbohydrate metabolism|Pentose and glucuronate interconversions
map00051	Fructose and mannose metabolism	Metabolism|Carbohydrate metabolism|Fructose and mannose metabolism
map00052	Galactose metabolism	Metabolism|Carbohydrate metabolism|Galactose metabolism
map00053	Ascorbate and aldarate metabolism	Metabolism|Carbohydrate metabolism|Ascorbate and aldarate metabolism
map00500	Starch and sucrose metabolism	Metabolism|Carbohydrate metabolism|Starch and sucrose metabolism
map00520	Amino sugar and nucleotide sugar metabolism	Metabolism|Carbohydrate metabolism|Amino sugar and nucleotide sugar metabolism
map00620	Pyruvate metabolism	Metabolism|Carbohydrate metabolism|Pyruvate metabolism
map00630	Glyoxylate and dicarboxylate metabolism	Metabolism|Carbohydrate metabolism|Glyoxylate and dicarboxylate metabolism
map00640	Propanoate metabolism	Metabolism|Carbohydrate metabolism|Propanoate metabolism
map00650	Butanoate metabolism	Metabolism|Carbohydrate metabolism|Butanoate metabolism
map00660	C5-Branched dibasic acid metabolism	Metabolism|Carbohydrate metabolism|C5-Branched dibasic acid metabolism
map00562	Inositol phosphate metabolism	Metabolism|Carbohydrate metabolism|Inositol phosphate metabolism
map00190	Oxidative phosphorylation	Metabolism|Energy metabolism|Oxidative phosphorylation
map00195	Photosynthesis	Metabolism|Energy metabolism|Photosynthesis
map00196	Photosynthesis - antenna proteins	Metabolism|Energy metabolism|Photosynthesis - antenna proteins
map00710	Carbon fixation in photosynthetic organisms	Metabolism|Energy metabolism|Carbon fixation in photosynthetic organisms
map00720	Carbon fixation pathways in prokaryotes	Metabolism|Energy metabolism|Carbon fixation pathways in prokaryotes
map00680	Methane metabolism	Metabolism|Energy metabolism|Methane metabolism
map00910	Nitrogen metabolism	Metabolism|Energy metabolism|Nitrogen metabolism
map00920	Sulfur metabolism	Metabolism|Energy metabolism|Sulfur metabolism
map00061	Fatty acid biosynthesis	Metabolism|Lipid metabolism|Fatty acid biosynthesis
map00062	Fatty acid elongation	Metabolism|Lipid metabolism|Fatty acid elongation
map00071	Fatty acid degradation	Metabolism|Lipid metabolism|Fatty acid degradation
map00072	Synthesis and degradation of ketone bodies	Metabolism|Lipid metabolism|Synthesis and degradation of ketone bodies
map00073	Cutin, suberine and wax biosynthesis	Metabolism|Lipid metabolism|Cutin, suberine and wax biosynthesis
map00100	Steroid biosynthesis	Metabolism|Lipid metabolism|Steroid biosynthesis
map00120	Primary bile acid biosynthesis	Metabolism|Lipid metabolism|Primary bile acid biosynthesis
map00121	Secondary bile acid biosynthesis	Metabolism|Lipid metabolism|Secondary bile acid biosynthesis
map00140	Steroid hormone biosynthesis	Metabolism|Lipid metabolism|Steroid hormone biosynthesis
map00561	Glycerolipid metabolism	Metabolism|Lipid metabolism|Glycerolipid metabolism
map00564	Glycerophospholipid metabolism	Metabolism|Lipid metabolism|Glycerophospholipid metabolism
map00565	Ether lipid metabolism	Metabolism|Lipid metabolism|Ether lipid metabolism
map00600	Sphingolipid metabolism	Metabolism|Lipid metabolism|Sphingolipid metabolism
map00590	Arachidonic acid metabolism	Metabolism|Lipid metabolism|Arachidonic acid metabolism
map00591	Linoleic acid metabolism	Metabolism|Lipid metabolism|Linoleic acid metabolism
map00592	alpha-Linolenic acid metabolism	Metabolism|Lipid metabolism|alpha-Linolenic acid metabolism
map01040	Biosynthesis of unsaturated fatty acids	Metabolism|Lipid metabolism|Biosynthesis of unsaturated fatty acids
map00230	Purine metabolism	Metabolism|Nucleotide metabolism|Purine metabolism
map00240	Pyrimidine metabolism	Metabolism|Nucleotide metabolism|Pyrimidine metabolism
map00250	Alanine, aspartate and glutamate metabolism	Metabolism|Amino acid metabolism|Alanine, aspartate and glutamate metabolism
map00260	Glycine, serine and threonine metabolism	Metabolism|Amino acid metabolism|Glycine, serine and threonine metabolism
map00270	Cysteine and methionine metabolism	Metabolism|Amino acid metabolism|Cysteine and methionine metabolism
map00280	Valine, leucine and isoleucine degradation	Metabolism|Amino acid metabolism|Valine, leucine and isoleucine degradation
map00290	Valine, leucine and isoleucine biosynthesis	Metabolism|Amino acid metabolism|Valine, leucine and isoleucine biosynthesis
map00300	Lysine biosynthesis	Metabolism|Amino acid metabolism|Lysine biosynthesis
map00310	Lysine degradation	Metabolism|Amino acid metabolism|Lysine degradation
map00220	Arginine biosynthesis	Metabolism|Amino acid metabolism|Arginine biosynthesis
map00330	Arginine and proline metabolism	Metabolism|Amino acid metabolism|Arginine and proline metabolism
map00340	Histidine metabolism	Metabolism|Amino acid metabolism|Histidine metabolism
map00350	Tyrosine metabolism	Metabolism|Amino acid metabolism|Tyrosine metabolism
map00360	Phenylalanine metabolism	Metabolism|Amino acid metabolism|Phenylalanine metabolism
map00380	Tryptophan metabolism	Metabolism|Amino acid metabolism|Tryptophan metabolism
map00400	Phenylalanine, tyrosine and tryptophan biosynthesis	Metabolism|Amino acid metabolism|Phenylalanine, tyrosine and tryptophan biosynthesis
map00410	beta-Alanine metabolism	Metabolism|Metabolism of other amino acids|beta-Alanine metabolism
map00430	Taurine and hypotaurine metabolism	Metabolism|Metabolism of other amino acids|Taurine and hypotaurine metabolism
map00440	Phosphonate and phosphinate metabolism	Metabolism|Metabolism of other amino acids|Phosphonate and phosphinate metabolism
map00450	Selenocompound metabolism	Metabolism|Metabolism of other amino acids|Selenocompound metabolism
map00460	Cyanoamino acid metabolism	Metabolism|Metabolism of other amino acids|Cyanoamino acid metabolism
map00471	D-Glutamine and D-glutamate metabolism	Metabolism|Metabolism of other amino acids|D-Glutamine and D-glutamate metabolism
map00472	D-Arginine and D-ornithine metabolism	Metabolism|Metabolism of other amino acids|D-Arginine and D-ornithine metabolism
map00473	D-Alanine metabolism	Metabolism|Metabolism of other amino acids|D-Alanine metabolism
