#PathwayID	Number
PWY-7407	1.14.13
PWY-7658	2.4.99.21
PWY-8151	1.2.1
PWY-6710	3.3.2.10
PWY-8042	2.3.1.296
KDO-LIPASYN-PWY	2.3.1.243
KDO-NAGLIPASYN-PWY	2.3.1.243
PWY-5679	6.3.3.4
PWY-6148	2.4.2
PWY1A0-6120	1.1.1.100
PWY66-430	1.1.1.100
PWY-5971	1.1.1.100
PWY-6852	1.14.13.101
PWY-7663	2.3.1.179
PWY-7663	2.3.1.41
PWY-7717	3.7.1
PWY-6036	2.4.1
PWY-5408	4.2.1.M17
PWY-5367	3.1.2.14
PWY-6624	2.4.1
PWY-8035	2.3.1
PWY-1341	1.2
PWY-5874	2.4.1.17
PWY-8086	1.1.1.27
P124-PWY	1.1.1.27
P122-PWY	1.1.1.27
PWY-5481	1.1.1.27
PWY-6901	1.1.1.27
PWY-7653	1.14.19
PWY-7919	3.2.1.113
PWYG-321	1.3.1.9
PWY-5989	1.3.1.9
PWY0-461	1.2.1.19
PWY-6328	1.2.1.19
PWY-7587	2.3.1.51
PWY-7683	1.7.2
PWY-7002	1.14.13.84
FUCCAT-PWY	2.7.1.51
PWY-6892	4.1.99.19
PWY-8040	6.2.1.al
PWY-8135	3.5.1.74
PWY-7693	2.3.1
PWY-7507	1.3.1.107
PWY-7817	2.4.2
PWY-6420	1.21.98.4
PWY-6967	1.4.9.1
PYRUVDEHYD-PWY	1.2.4.1
PWY-6915	1.14.13.170
PWY-8047	2.1.1
PWY-7411	2.3.1.42
PWY-7696	2.3.1
PWY-6519	2.3.1.179
PWY-6519	2.3.1.41
PWY-5483	6.2.1.13
PWY-5535	6.2.1.13
PWY-6281	2.9.1.2
PWY-7721	4.2.3
PWY-7220	1.1.98.6
PWY5F9-3233	1.14.12
PWY-8073	2.3.1.129
PWY-8012	1.1.1.M51
PWY-7733	3.1.2
PWY-7734	3.1.2
PWY-7978	3.5.2
PWY-6694	1.2.7.10
PWY66-395	3.3.2
PWY-6713	1.2.1.22
PWY-5458	1.2.1.22
PWY-5197	1.2.1.22
PWY0-1317	1.2.1.22
PWYG-321	1.1.1.M9
PWY-7656	1.2.1.84
PWY-5159	1.14.19
PWY-6032	1.14.14
PWY-7599	5.4.99
PWY-5163	1.13.11.M5
PWY-7010	1.14.13
PWYG-321	1.1
PWY-7481	1.14.13
PWY-8107	2.1.1.hh
PWY-6461	6.3.1.12
PWY-7738	3.1.2.M3
PWY-7511	2.3.2.27
PWY-6984	3.5.1
PWY-7818	2.4.1
PWY-1822	3.5.1.M7
PWY-5046	1.2.4.4
PWY-5954	1.14.14.116
PWY-7434	2.4.1.87
PWYG-321	4.2.1.M1
PWY-7415	2.4.1.316
PWY-8157	2.3.1.dt
PWY-7800	2.3.1.255
PWY-7029	2.3.1
ILEUSYN-PWY	1.1.1.86
PWY-5103	1.1.1.86
PWY-6167	3.5.4.29
PWY-5674	1.7.2.2
PWY-7776	1.14.13.69
PWY-5	2.1.3
PWYG-321	2.3.1.293
PWY-7043	5.3.3
PWY-8017	2.8.3.17
PWY-6368	3.1.3.36
PWY-7979	2.4.1.312
PWYG-321	1.1.1.M9
PWY66-426	4.2.1.22
PWY-7659	1.14.19
PWY-8158	1.14.19
PWY-7114	3.2.1.149
PWY-7601	1.14.19.4
PWY-4201	2.1.1.146
PWY-6557	2.4.1.135
PWY-7016	1.1.3.44
PWYG-321	6.2.1
PWY-7836	2.4.1.62
PWY-6477	2.1.1
PWY-8175	2.3.1.dr
PWY-8086	2.8.3.M4
P108-PWY	2.8.3.M4
PWY-7384	2.8.3.M4
PWY0-43	2.8.3.M4
PWY0-1585	1.7.2.2
PWY-6364	3.1.3.62
PWY-6163	4.2.3.5
PWY-7513	1.13.12
PWY-6325	5.5.1.6
PWY-2002	5.5.1.6
PWYG-321	1.3.1.118
PWY-6930	2.3.1
PWY-7419	1.14.13
PWY-8173	1.3.1.9
PWY-5883	2.1.1.M76
PWY-6342	1.1.1.1
PWY-6724	2.7.9.4
PWY-7821	4.2.1.M11
PWY-7382	2.8.1.8
FASYN-ELONG-PWY	1.1.1.100
PWY-6185	5.3.3.4
PWYG-321	2.3.1.294
PWY-5759	2.4.1
PWY-8174	1.1.1.100
PWY-6585	3.1.2
PHOSPHONOTASE-PWY	3.11.1.1
PWYG-321	4.2.1.M1
PWY-8174	4.2.1.59
GAMMAHEXCHLORDEG-PWY	4.5.1
PWY-7661	2.4.1.356
PWY18C3-3	1.14.13
PWY18C3-2	1.14.13
PWY-7525	6.3.3
PWY-4421	2.4.1
PWYG-321	2.3.1.86
PWY3O-355	2.3.1.86
PWY-7018	2.4.2
PWY-8175	1.3.1.9
PWY-5987	2.1.1
PWY-7547	2.3.1
PWY0-44	5.1.3
PWY1A0-6120	4.2.1.59
PWY66-430	4.2.1.59
PWY-7388	4.2.1.59
PWY-5971	4.2.1.59
PWY-5966-1	2.3.1.86
PWY-5966-1	2.3.1.85
PWY-8175	1.3.1.10
PWY-7684	2.4.1.208
PWY-5903	2.3.1
PWY-8152	1.3.99.4
PWY-6944	1.3.99.4
PWY-7421	1.14.15.33
PWY-7563	6.3.2
PWY-6346	2.4.1
PWY-5994	2.3.1.85
PWY-5994	2.3.1.86
PWY-8040	2.3.1.dp
PWYG-321	2.3.1.86
PWY-6190	5.5.1.7
PWY-7779	3.7.1
PWY-5774	2.4.1
PWY-7335	5.1.3.14
PWY-7819	5.1.3.14
PWY-7815	5.1.3.14
PWY-7816	5.1.3.14
TEICHOICACID-PWY	5.1.3.14
P164-PWY	1.17.1.9
PWY-7985	1.17.1.9
PWY-6696	1.17.1.9
PWY-1881	1.17.1.9
PWY-5497	1.17.1.9
PWY-7304	1.14.13
PWY-5386-1	1.1.2.4
MGLDLCTANA-PWY	1.1.2.4
PWY-7206	3.6.1
PWY-6966	1.1.2.7
PWY-6966	1.1.2.e
PWY-7987	2.3.1
PWY-7734	2.6.99
PWY-7626	1.14.13
PWY-7431	1.2.1.3
PWY6666-2	1.2.1.3
PWY-5290	2.1.1.50
PWY-7665	6.3.2
PWY18C3-9	2.3.1
PWY-5248	2.1.1.247
PWY-7127	2.7.7
PWY-4502	2.5.1
PWY-8012	2.3.1.M61
PWY-5744	5.4.1.3
IDNCAT-PWY	1.1.1.69
PWY-7606	1.3.3.6
PWY-8146	4.4.1.17
PWY-8145	4.4.1.17
GLYCINE-SYN2-PWY	1.8.1.4
GLYCLEAV-PWY	1.8.1.4
PWY-1269	2.7.7.38
PWY-8012	6.3.2.M13
PWY-2463	4.2.1.139
PWY-7660	6.2.1
PWY-6558	2.4.1.225
PWY-7664	2.3.1.179
PWY-7664	2.3.1.41
PWY-6935	1.2
PWY-701	3.5.99.10
PWY-5826	3.5.99.10
PWY-5437	3.5.99.10
ILEUSYN-PWY	3.5.99.10
PWY1A0-6120	1.1.1.100
PWY66-430	1.1.1.100
PWY-5971	1.1.1.100
PWY-6753	2.4.2.44
PWY18C3-1	1.1.1.418
PWY-7663	1.3.1.9
PWY-7942	3.4.19.3
PWY-5691	1.7.3.3
PWY-5367	1.3.1
PWY1G-170	1.1.1.306
PWY-7300	1.1.1
PWY-6294	4.2.3.198
PWY-7671	2.3.1
PWY-6113	2.3.1.86
PWYG-321	2.3.1.86
HISTSYN-PWY	5.3.1.16
PWY66-430	2.3.1.41
PWY-7737	1.8.3
PWY-8038	6.2.1.al
PWY66-368	2.8.3.5
REDCITCYC	2.8.3.5
PWY-5280	1.13.12.2
P3-PWY	1.3.1.109
P162-PWY	1.3.1.109
PWY-8190	1.3.1.109
PWY-5022	1.3.1.109
PWY-5677	1.3.1.109
PWY-5676	1.3.1.109
P163-PWY	1.3.1.109
CENTFERM-PWY	1.3.1.109
PWY-6583	1.3.1.109
PWY-6594	1.3.1.109
GLUDEG-II-PWY	1.3.1.109
PWY0-1586	3.4.16.4
PWY-6060	2.3.1.187
PWY-5794	2.3.1.187
PWY18C3-10	2.3.1
PWY-8045	2.1.4
PWY18C3-13	4.2.3.140
PWY-7007	4.1.1
PWY-7920	2.4.1.214
PWY-6433	2.3.1.23
PWY-5084	2.3.1.61
PWY-7027	6.1.3.1
PWY-6700	1.7.1.13
PWY-8047	2.3.1
PWY-7894	3.2.1.107
PWY-7702	6.3.2
PWY-7529	3.2.1
PWY-8087	1.14.13
PWY-2421	1.14.13
PWY-6519	1.3.1.9
PWY-5984	1.3.1
PWY-8152	1.1.1.35
PWY-6944	1.1.1.35
PWY-8051	3.1.4.54
PWY-7425	3.8.1.2
PWY-7222	1.17.4.1
PWY-5784	2.4.1
PWY-7735	6.3.2
PWY-5532	2.4.2.57
PWY-6744	1.12.1.4
PWY-6290	4.2.3.128
PWYG-321	4.2.1.M2
PWY-5292	1.3.1.M18
PWY-6032	1.14.14.M47
PWY-5747	6.2.1.17
PWY-5104	6.2.1.17
PWY0-42	6.2.1.17
PWY-3941	6.2.1.17
PWY-7769	2.1.1.326
PWY-7741	2.3.1.292
PWY-7988	6.3.2
PWY-6861	3.1.1.64
PWY-7254	1.1.5.4
PWY-5913	1.1.5.4
TCA	1.1.5.4
PWY-5269	2.7.8.41
PWY-7509	2.7.8.41
PWY18HP-2	5.5.1.M9
PWY-8109	2.1.1.M73
PWY-7135	2.1.1
PWY-7884	3.4.23.36
PWY-4702	3.1.3.25
PWY-7033	4.1.99
PWY-7592	1.1.1.330
PWY-5353	1.1.1.330
ARGSYNBSUB-PWY	2.3.1.35
PWYG-321	4.2.1.M1
PWY-5360	1.8.5.M1
PWY-5306	1.8.5.M1
DISSULFRED-PWY	1.8.5.M1
PWY0-521	5.1.3.41
PWY-7382	2.3.1.181
PWY-6987	2.3.1.181
PWY-7850	1.13.11.19
P341-PWY	1.2.7.6
PWY-6142	1.2.7.6
PWY-2561	2.3.1.115
PWY-5972	6.2.1.3
PWY3DJ-11470	6.2.1.3
PWY-7119	6.2.1.3
PWY-5971	6.2.1.3
PWYG-321	1.3.1.118
PWY-7832	2.4.1.65
PWY-7833	2.4.1.65
PWY-6942	2.1.1.234
PWY-6372	2.7.1.159
PWY-6724	3.2.1.2
PWY1-2	1.4.1.1
PWYG-321	2.3.1.294
PWY-5800	2.4.1
PWY-5301	1.3.1.73
PWY-7307	1.3.1.124
PWY-5645	4.2.1.80
PWY-6831	1.14.19
HEME-BIOSYNTHESIS-II-1	4.99.1.1
HEME-BIOSYNTHESIS-II	4.99.1.1
HEMESYN2-PWY	4.99.1.1
PWYQT-4471	1.14.14.42
PWY-7672	2.3.1
PWY-5313	2.3.1
PWY-5284	2.3.1
PWY-7426	2.4.1.145
PWYG-321	2.3.1.294
TRIGLSYN-PWY	2.3.1.15
PWY-5667	2.3.1.15
PWY-861	2.4.1.85
PWY-8173	4.2.1.59
PWY-5292	1.14.14.50
PWY-7612	1.14.19
PWY-7036	2.3.1.199
PWYG-321	5.3.3.14
PWY-2541	1.14.19.41
PWY-8173	4.2.1.59
PWY0-1337	6.2.1.3
PWY-5147	6.2.1.3
PWY-6001	6.2.1.3
PWY-7382	2.8.1.8
PWY-6948	1.14.13
PWY-5147	3.1.2.14
PWYG-321	1.3.1.118
PWY-8052	3.1.3.4
PWY-8174	1.3.1.10
PWY-7269	1.2.1.3
PWY-5818	4.2.3.152
PWY-7752	4.2.3.152
PWYG-321	2.1.1
PWY-2201	1.5.1.15
PWY-7318	2.3.1
PWY-5950	4.2.3.22
PWYG-321	1.1.1.M9
PWY-8174	2.3.1.179
PWY-7533	1.14.14
PWYQT-4472	2.4.1.195
PWY-7673	2.1.1
PWY-7746	2.3.1
PWY-5047	1.14.14
PWY-8175	1.1.1.100
PWY-7507	1.14.14
PWY3O-1743	2.7.1.7
PWY-6992	2.7.1.7
PWY-3861	2.7.1.7
PWY-6140	2.7.1.7
PWY-7555	6.3.2
PWY-5055	1.3.7.1
PWY-5994	2.3.1.86
PWY-5994	2.3.1.85
SUCUTIL-PWY	3.2.1
PWY-8175	4.2.1.59
PWY-7541	2.8.3.1
PWY-2681	3.2.2
PWY-7565	6.3.2
PWY0-1337	1.3.8.1
PWY-7688	2.6.1.90
PWY-6953	2.6.1.90
PWY-5994	2.3.1.86
PWY-5994	2.3.1.85
PWYG-321	2.3.1.86
PWY-8053	3.1.4.54
PWY-7782	2.5.1.26
PWY-7104	2.6.1
PWY-7440	2.6.1
PWY-7589	1.14.19.27
PWY-5831	1.1.1.341
PWY-4302	1.10.3.11
PWY-5159	3.5.4.22
PWY-7282	2.7.1.35
PWY-7204	2.7.1.35
PLPSAL-PWY	2.7.1.35
PWY-7741	4.1.1.M4
PWY-7511	6.2.1.45
PWY-5258	2.1.1.251
PWY-5297	4.99.1.M1
PWY-8012	4.1.1.M16
PWY-3101	1.14.20.6
PWY-6787	1.14.20.6
PWY-7151	2.1.1
PWY-6004	2.1.1.20
P541-PWY	2.1.1.20
PWY-5710	2.3.1
PWY-6027	2.3.1
PWY-7881	1.1.1.413
PWY-7039	2.7.4
PWY-7541	1.1.1
PWY-7664	4.2.1.59
PWY-2724	1.2.1
PWY-7576	1.19.6.1
PWY-6383	2.5.1.68
PWY-5971	2.3.1.41
PWY-5971	2.3.1.179
PWY-8032	2.3.1
PWY-6391	1.1.1
PWY-7668	6.3.2
PWY-6533	3.5.1.123
PWY-7782	2.3.1.51
PWY-5973	4.2.1.59
PWY-5826	4.1.1
PWY-7337	1.3.3.6
PWY-5469	1.14.19.74
PWY0-1319	2.3.1.15
PWY-6829	2.1.1.202
PWY0-1600	1.8.4.16
PWY-8039	2.4.1
PWY-8086	2.3.1.54
PWY4LZ-257	2.3.1.54
PWY-5493	2.3.1.54
FERMENTATION-PWY	2.3.1.54
PWY-5485	2.3.1.54
PWY-5480	2.3.1.54
PWY-7745	2.4.1.M5
