Pathway	GO-term
1CMET2-PWY	GO:0016491
1CMET2-PWY	GO:0004146
1CMET2-PWY	GO:0071172
1CMET2-PWY	GO:0005829
1CMET2-PWY	GO:0006730
1CMET2-PWY	GO:0055114
1CMET2-PWY	GO:0046656
1CMET2-PWY	GO:0009257
1CMET2-PWY	GO:0071949
1CMET2-PWY	GO:0051087
1CMET2-PWY	GO:0004489
1CMET2-PWY	GO:0032991
1CMET2-PWY	GO:0006555
1CMET2-PWY	GO:0035999
1CMET2-PWY	GO:0009086
1CMET2-PWY	GO:0008652
1CMET2-PWY	GO:0016668
1CMET2-PWY	GO:0042802
1CMET2-PWY	GO:0008270
1CMET2-PWY	GO:0015036
1CMET2-PWY	GO:0050660
1CMET2-PWY	GO:0005515
1CMET2-PWY	GO:0004148
1CMET2-PWY	GO:0005886
1CMET2-PWY	GO:0016020
1CMET2-PWY	GO:0005737
1CMET2-PWY	GO:0045250
1CMET2-PWY	GO:0005960
1CMET2-PWY	GO:0045248
1CMET2-PWY	GO:0045454
1CMET2-PWY	GO:0006103
1CMET2-PWY	GO:0006090
1CMET2-PWY	GO:0006096
1CMET2-PWY	GO:0006979
1CMET2-PWY	GO:0019464
1CMET2-PWY	GO:0016740
1CMET2-PWY	GO:0008168
1CMET2-PWY	GO:0003723
1CMET2-PWY	GO:0000287
1CMET2-PWY	GO:0042803
1CMET2-PWY	GO:0004799
1CMET2-PWY	GO:0006235
1CMET2-PWY	GO:0032259
1CMET2-PWY	GO:0009165
1CMET2-PWY	GO:0006417
1CMET2-PWY	GO:0009314
1CMET2-PWY	GO:0006231
1CMET2-PWY	GO:0046872
1CMET2-PWY	GO:0031419
1CMET2-PWY	GO:0008705
1CMET2-PWY	GO:0050667
1CMET2-PWY	GO:0044237
1CMET2-PWY	GO:0042558
1CMET2-PWY	GO:0008483
1CMET2-PWY	GO:0004047
1CMET2-PWY	GO:0006546
1CMET2-PWY	GO:0016874
1CMET2-PWY	GO:0000166
1CMET2-PWY	GO:0005524
1CMET2-PWY	GO:0030272
1CMET2-PWY	GO:0009396
1CMET2-PWY	GO:0022611
1CMET2-PWY	GO:0030170
1CMET2-PWY	GO:0016594
1CMET2-PWY	GO:0003824
1CMET2-PWY	GO:0004375
1CMET2-PWY	GO:0006544
1CMET2-PWY	GO:0031405
1CMET2-PWY	GO:0004486
1CMET2-PWY	GO:0016787
1CMET2-PWY	GO:0004488
1CMET2-PWY	GO:0004477
1CMET2-PWY	GO:0008152
1CMET2-PWY	GO:0006164
1CMET2-PWY	GO:0000105
1CMET2-PWY	GO:0070402
1CMET2-PWY	GO:0070401
1CMET2-PWY	GO:0051871
1CMET2-PWY	GO:0051870
1CMET2-PWY	GO:0005542
1CMET2-PWY	GO:0050661
1CMET2-PWY	GO:0046655
1CMET2-PWY	GO:0046452
1CMET2-PWY	GO:0046654
1CMET2-PWY	GO:0006545
1CMET2-PWY	GO:0046677
1CMET2-PWY	GO:0031427
1CMET2-PWY	GO:0042493
1CMET2-PWY	GO:0070905
1CMET2-PWY	GO:0050897
1CMET2-PWY	GO:0016597
1CMET2-PWY	GO:0004372
1CMET2-PWY	GO:0006564
1CMET2-PWY	GO:1904482
1CMET2-PWY	GO:0046653
1CMET2-PWY	GO:0006565
1CMET2-PWY	GO:0019264
2OXOBUTYRATECAT-PWY	GO:0051536
2OXOBUTYRATECAT-PWY	GO:0046872
2OXOBUTYRATECAT-PWY	GO:0009055
2OXOBUTYRATECAT-PWY	GO:0051537
2OXOBUTYRATECAT-PWY	GO:0005515
2OXOBUTYRATECAT-PWY	GO:0005829
2OXOBUTYRATECAT-PWY	GO:0022900
2OXOBUTYRATECAT-PWY	GO:0055114
2OXOBUTYRATECAT-PWY	GO:0016226
2PHENDEG-PWY	GO:0016620
2PHENDEG-PWY	GO:0016491
2PHENDEG-PWY	GO:0047106
2PHENDEG-PWY	GO:0008957
2PHENDEG-PWY	GO:0032991
2PHENDEG-PWY	GO:0005829
2PHENDEG-PWY	GO:0046196
2PHENDEG-PWY	GO:0009435
2PHENDEG-PWY	GO:0006559
2PHENDEG-PWY	GO:0055114
2PHENDEG-PWY	GO:0019607
2PHENDEG-PWY	GO:0046872
2PHENDEG-PWY	GO:0052596
2PHENDEG-PWY	GO:0052595
2PHENDEG-PWY	GO:0052594
2PHENDEG-PWY	GO:0052593
2PHENDEG-PWY	GO:0042803
2PHENDEG-PWY	GO:0048038
2PHENDEG-PWY	GO:0005509
2PHENDEG-PWY	GO:0005507
2PHENDEG-PWY	GO:0008131
2PHENDEG-PWY	GO:0030288
2PHENDEG-PWY	GO:0042597
2PHENDEG-PWY	GO:0009308
4-HYDROXYMANDELATE-DEGRADATION-PWY	GO:0016020
4AMINOBUTMETAB-PWY	GO:0016620
4AMINOBUTMETAB-PWY	GO:0016491
4AMINOBUTMETAB-PWY	GO:0004030
4AMINOBUTMETAB-PWY	GO:0005829
4AMINOBUTMETAB-PWY	GO:0055114
4AMINOBUTMETAB-PWY	GO:0009447
4AMINOBUTMETAB-PWY	GO:0004777
4AMINOBUTMETAB-PWY	GO:0042803
4AMINOBUTMETAB-PWY	GO:0009013
4AMINOBUTMETAB-PWY	GO:0006807
4AMINOBUTMETAB-PWY	GO:0009450
4AMINOBUTMETAB-PWY	GO:0006527
4AMINOBUTMETAB-PWY	GO:0016740
4AMINOBUTMETAB-PWY	GO:0008483
4AMINOBUTMETAB-PWY	GO:0003824
4AMINOBUTMETAB-PWY	GO:0047589
4AMINOBUTMETAB-PWY	GO:0034386
4AMINOBUTMETAB-PWY	GO:0003992
4AMINOBUTMETAB-PWY	GO:0030170
4AMINOBUTMETAB-PWY	GO:0003867
4AMINOBUTMETAB-PWY	GO:0009448
4AMINOBUTMETAB-PWY	GO:0042450
4AMINOBUTMETAB-PWY	GO:0050661
4AMINOBUTMETAB-PWY	GO:0042802
4AMINOBUTMETAB-PWY	GO:0102810
4AMINOBUTMETAB-PWY	GO:0036243
4AMINOBUTMETAB-PWY	GO:0032991
4AMINOBUTMETAB-PWY	GO:0051289
ADENOSYLHOMOCYSCAT-PWY	GO:0008898
ADENOSYLHOMOCYSCAT-PWY	GO:0008705
ADENOSYLHOMOCYSCAT-PWY	GO:0009086
ADENOSYLHOMOCYSCAT-PWY	GO:0016740
ADENOSYLHOMOCYSCAT-PWY	GO:0008168
ALADEG-PWY	GO:0016491
ALADEG-PWY	GO:0008718
ALADEG-PWY	GO:0005737
ALADEG-PWY	GO:0016020
ALADEG-PWY	GO:0005886
ALADEG-PWY	GO:0055114
ALADEG-PWY	GO:0019478
ALADEG-PWY	GO:0019480
ALADEG-PWY	GO:0055130
ALADEG-PWY	GO:0016853
ALADEG-PWY	GO:0003824
ALADEG-PWY	GO:0042803
ALADEG-PWY	GO:0030170
ALADEG-PWY	GO:0008784
ALADEG-PWY	GO:0005829
ALADEG-PWY	GO:0071555
ALADEG-PWY	GO:0006522
ALADEG-PWY	GO:0009252
ALADEG-PWY	GO:0008360
ALADEG-PWY	GO:0030632
ALADEG-PWY	GO:0047804
ALADEG-PWY	GO:0016829
ALADEG-PWY	GO:0042802
ALADEG-PWY	GO:0080146
ALADEG-PWY	GO:0004121
ALADEG-PWY	GO:0032991
ALADEG-PWY	GO:0006790
ALADEG-PWY	GO:0019346
ALADEG-PWY	GO:0006520
ALADEG-PWY	GO:0008652
ALADEG-PWY	GO:0051289
ALADEG-PWY	GO:0019450
ALADEG-PWY	GO:0009086
ALADEG-PWY	GO:0140297
ALADEG-PWY	GO:0005515
ALADEG-PWY	GO:0009058
ALADEG-PWY	GO:0043433
ALANINE-DEG3-PWY	GO:0016740
ALANINE-DEG3-PWY	GO:0008483
ALANINE-DEG3-PWY	GO:0005829
ALANINE-DEG3-PWY	GO:0009058
ALANINE-DEG3-PWY	GO:0016847
ALANINE-DEG3-PWY	GO:0004021
ALANINE-DEG3-PWY	GO:0006520
ALANINE-SYN2-PWY	GO:0016740
ALANINE-SYN2-PWY	GO:0003824
ALANINE-SYN2-PWY	GO:0008483
ALANINE-SYN2-PWY	GO:0042803
ALANINE-SYN2-PWY	GO:0030170
ALANINE-SYN2-PWY	GO:0004021
ALANINE-SYN2-PWY	GO:0005737
ALANINE-SYN2-PWY	GO:0005829
ALANINE-SYN2-PWY	GO:0009058
ALANINE-SYN2-PWY	GO:0006523
ALANINE-SYN2-PWY	GO:0030632
ALANINE-SYN2-PWY	GO:0006974
ALANINE-SYN2-PWY	GO:0046677
ALANINE-SYN2-PWY	GO:0019272
ALANINE-SYN2-PWY	GO:0016847
ALANINE-SYN2-PWY	GO:0006520
ALANINE-VALINESYN-PWY	GO:0003824
ALANINE-VALINESYN-PWY	GO:0016740
