#PathwayID	Pathway name	Ontology all ancestors
PWY-5802	alizarin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Phenylpropanoid Derivative Biosynthesis|Quinone Secondary Metabolite Biosynthesis
PWY-7080	asterrate biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Phenylpropanoid Derivative Biosynthesis|Quinone Secondary Metabolite Biosynthesis
PWY-5475	pentagalloylglucose biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Phenylpropanoid Derivative Biosynthesis|Hydrolyzable Tannin Biosynthesis
PWY-7417	phospholipid remodeling (phosphatidate, yeast)	Biosynthesis|Fatty Acid and Lipid Biosynthesis|Phospholipid Biosynthesis
PWY18C3-20	gentisate 5-O-&beta;-D-xylopyranoside biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Phenylpropanoid Derivative Biosynthesis|Benzenoids Biosynthesis
PWY-6349	CDP-archaeol biosynthesis	Biosynthesis|Fatty Acid and Lipid Biosynthesis|Phospholipid Biosynthesis
PWY-6367	D-myo-inositol-5-phosphate metabolism	Biosynthesis|Fatty Acid and Lipid Biosynthesis|Phospholipid Biosynthesis|Secondary Metabolite Biosynthesis|Sugar Derivative Biosynthesis|Sugar Alcohol Biosynthesis|Cyclitol Biosynthesis
PWY-7411	phosphatidate biosynthesis (yeast)	Biosynthesis|Fatty Acid and Lipid Biosynthesis|Phospholipid Biosynthesis
PWY-7782	plasmalogen biosynthesis	Biosynthesis|Fatty Acid and Lipid Biosynthesis|Phospholipid Biosynthesis
PWY-6352	3-phosphoinositide biosynthesis	Biosynthesis|Fatty Acid and Lipid Biosynthesis|Phospholipid Biosynthesis
PWY-7039	phosphatidate metabolism, as a signaling molecule	Biosynthesis|Fatty Acid and Lipid Biosynthesis|Phospholipid Biosynthesis
PWY-762	phospholipid desaturation	Biosynthesis|Fatty Acid and Lipid Biosynthesis|Phospholipid Biosynthesis
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	protein N-glycosylation initial phase (eukaryotic)	Macromolecule Modification|Protein Modification|Glycan Pathways|Biosynthesis|Carbohydrate Biosynthesis|Glycan Biosynthesis|Protein Glycosylation|Oligosaccharide Biosynthesis
PWY-6525	stellariose and mediose biosynthesis	Biosynthesis|Carbohydrate Biosynthesis|Oligosaccharide Biosynthesis
PWY-6524	lychnose and isolychnose biosynthesis	Biosynthesis|Carbohydrate Biosynthesis|Oligosaccharide Biosynthesis
PWY-7037	protein O-glycosylation (Neisseria)	Macromolecule Modification|Protein Modification|Glycan Pathways|Biosynthesis|Carbohydrate Biosynthesis|Glycan Biosynthesis|Protein Glycosylation|Oligosaccharide Biosynthesis
PWY-6116	mannosylfructose biosynthesis	Biosynthesis|Carbohydrate Biosynthesis|Oligosaccharide Biosynthesis
PWY-6515	phloridzin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Phenylpropanoid Derivative Biosynthesis|Flavonoid Biosynthesis
PWY-7031	protein N-glycosylation (bacterial)	Macromolecule Modification|Protein Modification|Glycan Pathways|Biosynthesis|Carbohydrate Biosynthesis|Glycan Biosynthesis|Protein Glycosylation|Oligosaccharide Biosynthesis
PWY-7897	flavonoid di-C-glucosylation	Biosynthesis|Secondary Metabolite Biosynthesis|Phenylpropanoid Derivative Biosynthesis|Flavonoid Biosynthesis
PWY-6325	echinatin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Phenylpropanoid Derivative Biosynthesis|Flavonoid Biosynthesis
PWY-7397	naringenin biosynthesis (engineered)	Biosynthesis|Secondary Metabolite Biosynthesis|Phenylpropanoid Derivative Biosynthesis|Flavonoid Biosynthesis
PWY-6232	chrysoeriol biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Phenylpropanoid Derivative Biosynthesis|Flavonoid Biosynthesis
PWY-6787	flavonoid biosynthesis (in equisetum)	Biosynthesis|Secondary Metabolite Biosynthesis|Phenylpropanoid Derivative Biosynthesis|Flavonoid Biosynthesis
PWY1F-FLAVSYN	flavonoid biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Phenylpropanoid Derivative Biosynthesis|Flavonoid Biosynthesis
CALVIN-PWY	Calvin-Benson-Bassham cycle	Biosynthesis|Carbohydrate Biosynthesis|Sugar Biosynthesis|Degradation/Utilization/Assimilation|C1 Compound Utilization and Assimilation|CO2 Fixation|Autotrophic CO2 Fixation
PWY-7632	hinokiresinol biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Phenylpropanoid Derivative Biosynthesis|Norlignan Biosynthesis
PWY-84	resveratrol biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Phenylpropanoid Derivative Biosynthesis|Stilbene Biosynthesis|Toxin Biosynthesis|Phytoalexin Biosynthesis|Stilbene Phytoalexin Biosynthesis
PWY-7943	lycopadiene biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Terpenoid Biosynthesis|Tetraterpenoid Biosynthesis|Carbohydrate Biosynthesis|Olefin Biosynthesis
PWY-6665	pterostilbene biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Phenylpropanoid Derivative Biosynthesis|Stilbene Biosynthesis
PWY-7027	hentriaconta-3,6,9,12,15,19,22,25,28-nonaene biosynthesis	Biosynthesis|Carbohydrate Biosynthesis|Olefin Biosynthesis
PWY-7304	3-amino-4,7-dihydroxy-coumarin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Phenylpropanoid Derivative Biosynthesis|Coumarins Biosynthesis
PWY-6622	heptadecane biosynthesis	Biosynthesis|Carbohydrate Biosynthesis|Alkane Biosynthesis
PWY-6792	scopoletin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Phenylpropanoid Derivative Biosynthesis|Coumarins Biosynthesis
PWY-7033	alkane biosynthesis II	Biosynthesis|Carbohydrate Biosynthesis|Alkane Biosynthesis
PWY-5176	coumarin biosynthesis (via 2-coumarate)	Biosynthesis|Secondary Metabolite Biosynthesis|Phenylpropanoid Derivative Biosynthesis|Coumarins Biosynthesis
PWY-7032	alkane biosynthesis I	Biosynthesis|Carbohydrate Biosynthesis|Alkane Biosynthesis
